Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Davante Adams (40857166),Davante Adams,40857166,WR/FLEX,7000,TB@LAR 11/23/2025 08:20PM ET,LAR,16.29
RB,Bucky Irving (40858175),Bucky Irving,40858175,RB/FLEX,7000,TB@LAR 11/23/2025 08:20PM ET,TB,19
QB,Drake Maye (40858146),Drake Maye,40858146,QB,6900,NE@CIN 11/23/2025 01:00PM ET,NE,20.92
WR,George Pickens (40857856),George Pickens,40857856,WR/FLEX,6900,PHI@DAL 11/23/2025 04:25PM ET,DAL,19.98
QB,Patrick Mahomes (40857291),Patrick Mahomes,40857291,QB,6800,IND@KC 11/23/2025 01:00PM ET,KC,22.88
TE,Trey McBride (40857608),Trey McBride,40857608,TE/FLEX,6800,JAX@ARI 11/23/2025 04:05PM ET,ARI,19.08
RB,Kyren Williams (40857833),Kyren Williams,40857833,RB/FLEX,6800,TB@LAR 11/23/2025 08:20PM ET,LAR,17.12
QB,Lamar Jackson (40857319),Lamar Jackson,40857319,QB,6700,NYJ@BAL 11/23/2025 01:00PM ET,BAL,20.61
RB,TreVeyon Henderson (40858173),TreVeyon Henderson,40858173,RB/FLEX,6700,NE@CIN 11/23/2025 01:00PM ET,NE,11.79
WR,Emeka Egbuka (40858168),Emeka Egbuka,40858168,WR/FLEX,6700,TB@LAR 11/23/2025 08:20PM ET,TB,16.46
RB,Jaylen Warren (40857887),Jaylen Warren,40857887,RB/FLEX,6600,PIT@CHI 11/23/2025 01:00PM ET,PIT,13.5
QB,Jalen Hurts (40857385),Jalen Hurts,40857385,QB,6600,PHI@DAL 11/23/2025 04:25PM ET,PHI,20.63
WR,Stefon Diggs (40857183),Stefon Diggs,40857183,WR/FLEX,6500,NE@CIN 11/23/2025 01:00PM ET,NE,13.81
QB,Joe Burrow (40857324),Joe Burrow,40857324,QB,6500,NE@CIN 11/23/2025 01:00PM ET,CIN,7.93
RB,Javonte Williams (40857606),Javonte Williams,40857606,RB/FLEX,6500,PHI@DAL 11/23/2025 04:25PM ET,DAL,17.42
QB,Dak Prescott (40857145),Dak Prescott,40857145,QB,6400,PHI@DAL 11/23/2025 04:25PM ET,DAL,20.62
WR,Chris Olave (40857676),Chris Olave,40857676,WR/FLEX,6400,ATL@NO 11/23/2025 04:25PM ET,NO,15.21
WR,Zay Flowers (40857893),Zay Flowers,40857893,WR/FLEX,6300,NYJ@BAL 11/23/2025 01:00PM ET,BAL,13.44
RB,Ashton Jeanty (40858245),Ashton Jeanty,40858245,RB/FLEX,6300,CLE@LV 11/23/2025 04:05PM ET,LV,14.47
QB,Matthew Stafford (40857123),Matthew Stafford,40857123,QB,6300,TB@LAR 11/23/2025 08:20PM ET,LAR,21.14
RB,Chase Brown (40857686),Chase Brown,40857686,RB/FLEX,6200,NE@CIN 11/23/2025 01:00PM ET,CIN,13.68
QB,Daniel Jones (40857326),Daniel Jones,40857326,QB,6200,IND@KC 11/23/2025 01:00PM ET,IND,20.87
WR,Brian Thomas Jr. (40858128),Brian Thomas Jr.,40858128,WR/FLEX,6200,JAX@ARI 11/23/2025 04:05PM ET,JAX,10.7
RB,Breece Hall (40857787),Breece Hall,40857787,RB/FLEX,6100,NYJ@BAL 11/23/2025 01:00PM ET,NYJ,14.90
WR,Rome Odunze (40857955),Rome Odunze,40857955,WR/FLEX,6100,PIT@CHI 11/23/2025 01:00PM ET,CHI,14.1
QB,Baker Mayfield (40857227),Baker Mayfield,40857227,QB,6100,TB@LAR 11/23/2025 08:20PM ET,TB,18.83
QB,Jared Goff (40857196),Jared Goff,40857196,QB,6000,NYG@DET 11/23/2025 01:00PM ET,DET,18.58
WR,Michael Pittman Jr. (40857373),Michael Pittman Jr.,40857373,WR/FLEX,6000,IND@KC 11/23/2025 01:00PM ET,IND,15.3
TE,Brock Bowers (40858118),Brock Bowers,40858118,TE/FLEX,6000,CLE@LV 11/23/2025 04:05PM ET,LV,15.81
RB,Quinshon Judkins (40858259),Quinshon Judkins,40858259,RB/FLEX,6000,CLE@LV 11/23/2025 04:05PM ET,CLE,12.89
RB,Travis Etienne Jr. (40857479),Travis Etienne Jr.,40857479,RB/FLEX,5900,JAX@ARI 11/23/2025 04:05PM ET,JAX,14.89
WR,A.J. Brown (40857431),A.J. Brown,40857431,WR/FLEX,5900,PHI@DAL 11/23/2025 04:25PM ET,PHI,11.97
QB,Brock Purdy (40857663),Brock Purdy,40857663,QB,5900,CAR@SF 11/24/2025 08:15PM ET,SF,20.58
WR,Tetairoa McMillan (40858247),Tetairoa McMillan,40858247,WR/FLEX,5900,CAR@SF 11/24/2025 08:15PM ET,CAR,14.44
RB,Tyrone Tracy Jr. (40857620),Tyrone Tracy Jr.,40857620,RB/FLEX,5800,NYG@DET 11/23/2025 01:00PM ET,NYG,7.93
QB,Jordan Love (40857379),Jordan Love,40857379,QB,5800,MIN@GB 11/23/2025 01:00PM ET,GB,17.63
WR,Marvin Harrison Jr. (40858171),Marvin Harrison Jr.,40858171,WR/FLEX,5800,JAX@ARI 11/23/2025 04:05PM ET,ARI,12.5
QB,Caleb Williams (40858141),Caleb Williams,40858141,QB,5700,PIT@CHI 11/23/2025 01:00PM ET,CHI,19.66
WR,Jameson Williams (40857879),Jameson Williams,40857879,WR/FLEX,5700,NYG@DET 11/23/2025 01:00PM ET,DET,12.42
RB,Aaron Jones Sr. (40857210),Aaron Jones Sr.,40857210,RB/FLEX,5700,MIN@GB 11/23/2025 01:00PM ET,MIN,10.3
RB,Rachaad White (40858064),Rachaad White,40858064,RB/FLEX,5700,TB@LAR 11/23/2025 08:20PM ET,TB,10.4
RB,D'Andre Swift (40857581),D'Andre Swift,40857581,RB/FLEX,5600,PIT@CHI 11/23/2025 01:00PM ET,CHI,15.82
QB,Jaxson Dart (40858136),Jaxson Dart,40858136,QB,5600,NYG@DET 11/23/2025 01:00PM ET,NYG,18.38
WR,DeVonta Smith (40857529),DeVonta Smith,40857529,WR/FLEX,5600,PHI@DAL 11/23/2025 04:25PM ET,PHI,13.95
RB,Kenneth Gainwell (40857754),Kenneth Gainwell,40857754,RB/FLEX,5500,PIT@CHI 11/23/2025 01:00PM ET,PIT,10.98
QB,Joe Flacco (40857119),Joe Flacco,40857119,QB,5500,NE@CIN 11/23/2025 01:00PM ET,CIN,17.06
WR,Wan'Dale Robinson (40857809),Wan'Dale Robinson,40857809,WR/FLEX,5500,NYG@DET 11/23/2025 01:00PM ET,NYG,12.36
TE,Tyler Warren (40858060),Tyler Warren,40858060,TE/FLEX,5500,IND@KC 11/23/2025 01:00PM ET,IND,13.63
RB,Alvin Kamara (40857233),Alvin Kamara,40857233,RB/FLEX,5500,ATL@NO 11/23/2025 04:25PM ET,NO,9.92
RB,Sean Tucker (40858051),Sean Tucker,40858051,RB/FLEX,5500,TB@LAR 11/23/2025 08:20PM ET,TB,6.65
WR,Jordan Addison (40857980),Jordan Addison,40857980,WR/FLEX,5400,MIN@GB 11/23/2025 01:00PM ET,MIN,13.54
QB,Sam Darnold (40857327),Sam Darnold,40857327,QB,5400,SEA@TEN 11/23/2025 01:00PM ET,SEA,16.66
RB,Kenneth Walker III (40857799),Kenneth Walker III,40857799,RB/FLEX,5400,SEA@TEN 11/23/2025 01:00PM ET,SEA,11.43
RB,Trey Benson (40858093),Trey Benson,40858093,RB/FLEX,5400,JAX@ARI 11/23/2025 04:05PM ET,ARI,8.85
WR,DK Metcalf (40857433),DK Metcalf,40857433,WR/FLEX,5300,PIT@CHI 11/23/2025 01:00PM ET,PIT,12.51
RB,David Montgomery (40857437),David Montgomery,40857437,RB/FLEX,5300,NYG@DET 11/23/2025 01:00PM ET,DET,11.40
RB,Emanuel Wilson (40858288),Emanuel Wilson,40858288,RB/FLEX,5300,MIN@GB 11/23/2025 01:00PM ET,GB,4.79
QB,Jacoby Brissett (40857163),Jacoby Brissett,40857163,QB,5300,JAX@ARI 11/23/2025 04:05PM ET,ARI,16.97
TE,Jake Ferguson (40857556),Jake Ferguson,40857556,TE/FLEX,5300,PHI@DAL 11/23/2025 04:25PM ET,DAL,14.1
QB,Aaron Rodgers (40857118),Aaron Rodgers,40857118,QB,5200,PIT@CHI 11/23/2025 01:00PM ET,PIT,15.24
RB,Rhamondre Stevenson (40857876),Rhamondre Stevenson,40857876,RB/FLEX,5200,NE@CIN 11/23/2025 01:00PM ET,NE,9.72
RB,Jordan Mason (40857644),Jordan Mason,40857644,RB/FLEX,5200,MIN@GB 11/23/2025 01:00PM ET,MIN,9.73
WR,Parker Washington (40858058),Parker Washington,40858058,WR/FLEX,5200,JAX@ARI 11/23/2025 04:05PM ET,JAX,8.95
WR,Chris Godwin Jr. (40857270),Chris Godwin Jr.,40857270,WR/FLEX,5200,TB@LAR 11/23/2025 08:20PM ET,TB,5.6
TE,George Kittle (40857201),George Kittle,40857201,TE/FLEX,5200,CAR@SF 11/24/2025 08:15PM ET,SF,13.63
QB,Bryce Young (40857941),Bryce Young,40857941,QB,5200,CAR@SF 11/24/2025 08:15PM ET,CAR,14.58
RB,Kyle Monangai (40858095),Kyle Monangai,40858095,RB/FLEX,5100,PIT@CHI 11/23/2025 01:00PM ET,CHI,8.2
RB,Kareem Hunt (40857225),Kareem Hunt,40857225,RB/FLEX,5100,IND@KC 11/23/2025 01:00PM ET,KC,9.39
QB,Trevor Lawrence (40857632),Trevor Lawrence,40857632,QB,5100,JAX@ARI 11/23/2025 04:05PM ET,JAX,16.81
WR,Tre Tucker (40857815),Tre Tucker,40857815,WR/FLEX,5100,CLE@LV 11/23/2025 04:05PM ET,LV,12.48
WR,Ricky Pearsall (40857772),Ricky Pearsall,40857772,WR/FLEX,5100,CAR@SF 11/24/2025 08:15PM ET,SF,11.86
WR,Kayshon Boutte (40857944),Kayshon Boutte,40857944,WR/FLEX,5000,NE@CIN 11/23/2025 01:00PM ET,NE,11.01
QB,J.J. McCarthy (40858155),J.J. McCarthy,40858155,QB,5000,MIN@GB 11/23/2025 01:00PM ET,MIN,14.74
TE,Travis Kelce (40857128),Travis Kelce,40857128,TE/FLEX,5000,IND@KC 11/23/2025 01:00PM ET,KC,13.91
RB,Isiah Pacheco (40857589),Isiah Pacheco,40857589,RB/FLEX,5000,IND@KC 11/23/2025 01:00PM ET,KC,7.52
WR,Alec Pierce (40857593),Alec Pierce,40857593,WR/FLEX,5000,IND@KC 11/23/2025 01:00PM ET,IND,11.94
RB,Tony Pollard (40857330),Tony Pollard,40857330,RB/FLEX,5000,SEA@TEN 11/23/2025 01:00PM ET,TEN,9.69
WR,DJ Moore (40857320),DJ Moore,40857320,WR/FLEX,4900,PIT@CHI 11/23/2025 01:00PM ET,CHI,9.39
WR,Romeo Doubs (40857680),Romeo Doubs,40857680,WR/FLEX,4900,MIN@GB 11/23/2025 01:00PM ET,GB,11.49
RB,Zach Charbonnet (40857801),Zach Charbonnet,40857801,RB/FLEX,4900,SEA@TEN 11/23/2025 01:00PM ET,SEA,9.63
RB,Zonovan Knight (40857795),Zonovan Knight,40857795,RB/FLEX,4900,JAX@ARI 11/23/2025 04:05PM ET,ARI,7.09
QB,Michael Penix Jr. (40857599),Michael Penix Jr.,40857599,QB,4900,ATL@NO 11/23/2025 04:25PM ET,ATL,14.25
WR,Jauan Jennings (40857312),Jauan Jennings,40857312,WR/FLEX,4900,CAR@SF 11/24/2025 08:15PM ET,SF,9.87
